ID_SARA,Alimento,ID_SARA_1,ENERC_KJ,ENERC_KCAL,WATER,PROTCNT,FAT,CHOCDF,ASH,Sodiomg,K,CA,P,FE,ZN,THIA,RIBF,NIA,VITC,origen_categoria,FASAT,FAMS,FAPU,FAPUN6,FAPUN3,CHOLE,WATER ,CHOAVLDF,FIBTG,ASH ,CHOCDF ,F14D0,F16D0,F18D0,F20D0,F16D1,F18D1,F20D1,F18D2,F18D3,F20D4,F20D4N6,F20D5,F22D6
218.0,Cerdo. chorizo. fresco. crudo,,1900.9,454.0,39.8,13.0,44.2,1.1,1.9,,,,,,,0.107,0.162,2.7,2.6,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
214.0,Cerdo. costilla. a la parrilla,,1339.8,320.0,50,25.2,24.3,...,0.5,106.0,359.0,6.0,209.0,1.16,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
213.0,Cerdo. costilla flaca. cruda,,1046.8,250.0,60.7,19.9,18.9,...,0.8,99.0,380.0,2.0,233.0,1.39,,0.584,0.089,11.6,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
216.0,Cerdo. jamón cocido,,883.5,211.0,60.4,20.3,14.4,...,4.9,1900.0,107.0,15.0,143.0,7.45,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
215.0,Cerdo. jamón crudo,,1980.5,473.0,28.9,18.0,44.6,...,8.5,2940.0,219.0,11.0,152.0,4.02,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
217.0,Cerdo. panceta,,2805.3,670.0,14.3,8.3,70.8,...,6.6,1780.0,17.0,37.0,38.0,1.27,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
219.0,Cordero. carne de la paleta. crudo,,414.5,99.0,77,18.7,2.7,...,1.6,97.0,361.0,13.0,170.0,1.69,,0.115,0.111,10.6,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
220.0,Cordero. carne de la paleta. flaca. a la parrilla,,762.0,182.0,62,28.0,7.8,...,2.2,122.0,446.0,17.0,242.0,5.65,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
224.0,Pollo. asado a la parrilla,,703.4,168.0,63.8,29.8,5.4,...,1,,333.0,11.0,249.0,1.97,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
223.0,Pollo. asado al horno,,678.3,162.0,64.4,28.4,5.4,...,1.8,129.0,327.0,12.0,193.0,3.34,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
221.0,Pollo. carne-pellejo-menudos. fresco. crudo,,368.5,88.0,80,16.3,2.5,...,1.2,119.0,292.0,2.0,200.0,5.04,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
222.0,Pollo. hervido,,829.0,198.0,63,23.1,11.7,...,2.2,110.0,363.0,2.0,158.0,1.71,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
225.0,Rana. carne de la pata. fresca. cruda,,268.0,64.0,83.7,15.5,0.2,...,0.6,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
558.0,Hamburguesas light asada,  ,,199.0,62.8,21.0,12.8,,2.7,747.0,329.0,9.6,254.0,2.7,5.4,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
559.0,Hamburguesas regulares de carne vacuna asadas,  ,,248.0,59.6,20.5,18.4,,2.6,769.0,316.0,7.6,223.0,2.5,5.2,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
560.0,Salchichas  light tipo Viena  ,  ,,136.0,68,14.2,4.4,,3.6,1093.0,256.0,32.0,159.0,1.9,2.6,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
561.0,Salchichas light tipo Viena hervidas,  ,,139.0,68.3,13.7,5,,3.2,973.0,223.0,33.0,135.0,1.9,2.5,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
562.0,Salchichas tipo Viena ,  ,,211.0,60.4,11.3,13.6,,3.9,1292.0,222.0,37.0,180.0,1.6,1.9,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
563.0,Salchichas tipo Viena hervidas,  ,,209.0,60.9,11.8,13.4,,3.5,1141.0,183.0,40.0,162.0,1.8,1.9,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
226.0,Vacuno. asado. fresco. crudo,,711.8,170.0,69.5,18.4,10.7,...,1.4,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
227.0,Vacuno. bife. a la parrilla,,791.3,189.0,63.9,24.6,10.1,...,1.4,97.0,367.0,4.0,238.0,3.52,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
503.0,Vacuno. bife angosto c/c de novillito. fresco. crudo,,795.5,190.0,67,21.0,12,0,,42.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
504.0,Vacuno. bola de lomo de novillito. fresco. crudo,,477.3,114.0,74.3,22.0,3.2,0,1.1,44.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
505.0,Vacuno. brazuelo de novillito. fresco. crudo,,502.4,120.0,73.8,21.0,3.9,0,0.97,56.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
228.0,Vacuno. caracú (médula de hueso largo). crudo,,3286.8,785.0,...,0.5,87,...,12.5,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
506.0,Vacuno. colita de cuadril de novillito. fresco. crudo,,598.7,143.0,71.6,21.0,6.7,0,1,36.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
507.0,Vacuno. corazón de cuadril de novillito. fresco. crudo,,485.7,116.0,73.7,22.0,2.6,0,1,39.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
229.0,Vacuno. cuadril y bife angosto flaco. fresco. crudo,,464.8,111.0,74,21.0,3,...,2,47.0,368.0,2.0,234.0,3.18,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
230.0,Vacuno. en conserva. enlatado,,937.9,224.0,59.5,23.7,14.4,...,2.4,895.0,148.0,14.0,145.0,13.45,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
554.0,Vacuno. hamburguesas cocidas,  ,1038.4,248.0,59.6,20.5,18.4,,2.6,834.0,322.0,9.0,,2.4,5,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
553.0,Vacuno. hamburguesas crudas,  ,912.8,218.0,63.9,17.3,16.5,,2.62,703.0,278.0,7.0,,1.79,3.7,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
556.0,Vacuno. hamburguesas light cocidas,  ,833.2,199.0,62.8,21.0,12.8,,2.69,862.0,342.0,12.0,,2.66,5.3,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
555.0,Vacuno. hamburguesas light crudas,  ,732.7,175.0,68.2,18.4,11.3,,2.39,754.0,320.0,11.0,,2.01,4.3,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
231.0,Vacuno. hígado. crudo,,552.7,132.0,69.7,19.7,3.2,6,1.4,86.0,320.0,4.0,376.0,9.95,,0.187,2.3,12.7,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
232.0,Vacuno. jugo de carne,,138.2,33.0,91.4,6.8,0.6,...,1.2,247.0,618.0,2.0,252.0,1.08,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
233.0,Vacuno. lomo. fresco. crudo,,485.7,116.0,71.6,20.0,4,...,2.1,79.0,369.0,2.0,188.0,2.73,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
510.0,Vacuno. nalga de novillito. fresco. crudo,,443.8,106.0,74.5,22.0,1.7,0,1.2,38.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
234.0,Vacuno. nalga. fresco. crudo,,406.1,97.0,75.3,21.2,1.4,...,2.1,63.0,399.0,3.0,186.0,3.46,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
511.0,Vacuno. paleta de novillito. fresco. crudo,,523.4,125.0,74.7,19.0,5.5,0,1,63.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
512.0,Vacuno. paletín o marucha de novillito. fresco. crudo,,552.7,132.0,73.6,20.0,6.1,0,1,80.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
513.0,Vacuno. palomita de novillito. fresco. crudo,,485.7,116.0,74.4,20.0,3.7,0,1.1,61.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
235.0,Vacuno. pasta de hígado,,1402.6,335.0,52.6,14.0,31,...,2.4,627.0,209.0,25.0,317.0,7.6,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
514.0,Vacuno. peceto de novillito. fresco. crudo,,523.4,125.0,74.1,23.0,1.9,0,1.1,50.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
515.0,Vacuno. pecho de novillito. fresco. crudo,,582.0,139.0,72.1,20.0,6.5,0,1.29,170.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
236.0,Vacuno. riñon. fresco. crudo,,573.6,137.0,74.9,15.0,8.1,0.9,1.1,245.0,231.0,14.0,262.0,15.0,,0.24,1.7,10.5,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
521.0,Vacuno. tapa de cuadril de novillito. fresco. crudo,,883.5,211.0,64.4,20.0,15,0,1.03,53.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
237.0,Vacuno. ternera. costilla flaca. a la parrilla,,582.0,139.0,67.8,27.2,3.4,...,1.6,74.0,406.0,4.0,224.0,4.09,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
238.0,Vacuno. ternera. costilla flaca. fresco. crudo,,397.8,95.0,76.3,20.0,1.7,...,2,88.0,325.0,5.0,201.0,2.04,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
516.0,Vacuno. tortuguita de novillito. fresco. crudo,,644.8,154.0,70.1,22.0,7.6,0,0.9,69.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
240.0,Vacuno. vacío. a la parrilla,,1080.2,258.0,55.6,25.6,17.3,...,1.5,91.0,381.0,3.0,204.0,4.12,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
241.0,Vacuno. vacío. al horno,,1009.1,241.0,56.1,28.1,14.3,...,1.5,63.0,339.0,3.0,234.0,4.37,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
517.0,Vacuno. vacío de novillito. fresco. crudo,,728.5,174.0,68.9,20.0,11,0,0.9,53.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
239.0,Vacuno. vacío flaco. fresco. crudo,,716.0,171.0,66.5,23.8,8.4,...,1.3,70.0,359.0,2.0,213.0,3.15,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
242.0,Bife. cocido,,975.6,233.0,52.7,36.0,9.9,0.1,1.35,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
243.0,Bife. crudo,,502.4,120.0,71.6,20.7,2.2,4.3,1.18,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
244.0,Nalga. cocida,,824.8,197.0,55.3,38.6,4.4,0.7,0.99,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
245.0,Nalga. cruda,,410.3,98.0,74.4,19.5,,4.9,1.14,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
246.0,Paleta. cocida,,866.7,207.0,54.6,37.0,6.4,0.4,1.56,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
247.0,Paleta. cruda,,448.0,107.0,76.4,19.0,3.4,0.2,1.02,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
248.0,Vacío. cocido,,967.2,231.0,48.9,41.1,6.8,1.2,1.86,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
249.0,Vacío. crudo,,439.6,105.0,75.3,18.4,2.2,3.1,1.06,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
250.0,Bife. cocido,,988.1,236.0,51.8,36.5,9.8,0.3,1.6,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
251.0,Bife. crudo,,502.4,120.0,72.2,21.1,2.5,3.2,1.07,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
252.0,Nalga. cocida,,741.1,177.0,59.6,35.1,3.8,0.6,0.87,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
253.0,Nalga. cruda,,431.3,103.0,74.4,21.0,1.1,2.5,1.09,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
254.0,Paleta. cocida,,803.9,192.0,56.8,35.5,5.2,0.9,1.58,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
255.0,Paleta. cruda,,443.8,106.0,75.8,18.4,2.7,2,1.02,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
256.0,Vacío. cocido,,850.0,203.0,53.9,38.4,5,1.2,1.54,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
257.0,Vacío. crudo,,448.0,107.0,75.3,18.4,2.5,2.7,1.03,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
258.0,Bola de lomo,,,,,,2.5,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
259.0,Carré,,,,,,2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
260.0,Cuadrada,,,,,,3.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
261.0,Lomo,,,,,,2.1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
262.0,Nalga,,,,,,2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
263.0,Peceto,,,,,,4.5,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
270.0,Bife,,,,,,1.8,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
264.0,Bola de lomo,,,,,,2.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
265.0,Cuadrada,,,,,,2.3,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
266.0,Cuadril,,,,,,2.3,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
267.0,Nalga,,,,,,2.1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
268.0,Peceto,,,,,,2.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
269.0,Total pata,,,,,,2.3,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
271.0,Pata sin piel,,,,,,3.9,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
272.0,Pechuga sin piel,,,,,,1.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
273.0,Piel sola,,,,,,45.7,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
274.0,Bife angosto,,,,,,2.4,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
275.0,Bola de lomo,,,,,,2.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
279.0,Cuadrada,,,,,,1.1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
276.0,Cuadril. colita,,,,,,1.9,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
277.0,Cuadril. corazón,,,,,,2.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
278.0,Cuadril. tapa,,,,,,3,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
280.0,Lomo,,,,,,3.8,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
281.0,Marucha,,,,,,3.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
282.0,Nalga,,,,,,1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
283.0,Palomita,,,,,,4.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
284.0,Peceto,,,,,,1.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
